"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
04-Feb-16,04-Feb-16,24.14,E7078,ET702,Dec-2015,J0,COT,Meals for officer training,Refreshments,,
04-Feb-16,04-Feb-16,61.33,E7060,TR957A,Dec-2015,J0,DECM,Airline ticket,Travel,Air,901
07-Mar-16,07-Mar-16,60.73,E7060,TR957A,Feb-2016,J0,DECM,Airline ticket,Travel,Air,868 km
07-Mar-16,07-Mar-16,28.81,E7078,ET702,Jan-2016,J0,COT,Meals for officer training,Refreshments,,
07-Mar-16,07-Mar-16,60.73,E7060,TR957A,Jan-2016,J0,COT,District Officers Training,Travel,Air,868 km
07-Mar-16,07-Mar-16,102.46,E7060,TR958A,May-2016,J0,Conference,Airline ticket,Travel,Air,868 km
19-Apr-16,19-Apr-16,4.71,E7044,MK520,Jan-2016,J0,Other,Books distribution in the region,Educational Material,,
19-Apr-16,19-Apr-16,6.30,E7062,TR963,Jan-2016,J0,Other,Officer travel to TLI,Travel,Bus,294 km
19-Apr-16,19-Apr-16,27.46,E7082,MK552,Feb-2016,J0,Other,Award - club integration ,Marketing,,
19-Apr-16,19-Apr-16,40.34,E7062,TR957A,Feb-2016,J0,DECM,District Officers Training - Taxi fees,Travel,Car,1 m
21-May-16,21-May-16,21.56,E7012,MK512,Jan-2016,J0,Other,Marketing / New Club demo meeting,Marketing,,
21-May-16,21-May-16,13.46,E7020,MK512,Jan-2016,J0,Other,Marketing / New Club demo meeting,Marketing,,
03-Jun-16,03-Jun-16,5.49,E7006,MK511,Feb-2016,J0,Other,Marketing / New Club ,Marketing,,
03-Jun-16,03-Jun-16,10.99,E7010,MK511,Feb-2016,J0,Other,Marketing / New Club ,Marketing,,
03-Jun-16,03-Jun-16,102.20,E7006,MK520,Feb-2016,J0,Other,Educational materials for TM Asbiro Club - Area J2,Educational Material,,
03-Jun-16,03-Jun-16,80.96,E7014,SC802,Mar-2016,J0,Speech contest,Speech contest - Area J4 - partial refund,Marketing,,
03-Jun-16,03-Jun-16,93.27,E7004,MK511,Feb-2016,J0,Other,Marketing / New Club ,Marketing,,
03-Jun-16,03-Jun-16,13.20,E7044,MK511,Feb-2016,J0,Other,Marketing / New Club ,Marketing,,
03-Jun-16,03-Jun-16,35.69,E7080,CO154,Mar-2016,J0,Speech contest,Area speech contest,Awards,,
03-Jun-16,03-Jun-16,22.95,E7080,CO154,Mar-2016,J0,Speech contest,Area speech contest,Awards,,
03-Jun-16,03-Jun-16,18.69,E7020,CO154,Mar-2016,J0,Speech contest,Speech contest - Area J3 - full refund,Marketing,,
03-Jun-16,03-Jun-16,55.21,E7020,CO154,Mar-2016,J0,Speech contest,Speech contest - Area J3 - full refund,Marketing,,
03-Jun-16,03-Jun-16,114.00,E7082,MK511,Mar-2016,J0,Other,Educational materials for TM Centrum Club - Area J3,Marketing,,
22-Jun-16,22-Jun-16,13.15,E7020,MK520,Apr-2016,J0,Other,Educational materials - for Area J1,Marketing,,
