"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
31-Dec-15,31-Dec-15,59.16,E7066,TR958B,Aug-2015,DFMI,Other,Travel to Division Council Meeting,Travel,Train,174 km
31-Dec-15,31-Dec-15,66.13,E7080,ET702,Aug-2015,DFMI,COT,COT Munich,Refreshments,,
31-Dec-15,31-Dec-15,74.05,E7008,MK511,Oct-2015,DFMI,Other,"Marketing Printing, Books",Marketing,,
31-Dec-15,31-Dec-15,139.13,E7008,MK511,Oct-2015,DFMI,Other,"Marketing Printing, Books",Marketing,,
31-Dec-15,31-Dec-15,69.96,E7078,SC802,Sep-2015,DFMI,Conference,"Conference Areas 1,2,3,5 Division I",Conference,,
31-Dec-15,31-Dec-15,35.89,E7080,SC802,Sep-2015,DFMI,Conference,"Conference Areas 1,2,3,5 Division I",Conference,,
15-Oct-15,15-Oct-15,79.08,E7006,ET705,Jun-2015,DD,Other,Accruals 2014-2015 #RR501 Educational material,Educational Material,,
17-Nov-15,17-Nov-15,381.51,E7060,TR954,Sep-2015,FM,DECM,Flight tickets to wroclaw,Travel,Air,"1,448 km"
17-Nov-15,17-Nov-15,8.32,E7064,TR954,Sep-2015,FM,DECM,taxi to the airport in wroclaw,Travel,Other,11.2 km
17-Nov-15,17-Nov-15,57.00,E7068,TR954,Sep-2015,FM,DECM,parking at the Helsinki Airport,Travel,Other,1 m
17-Nov-15,17-Nov-15,40.00,E7058,TR954,Sep-2015,FM,DECM,Lodging at the Hotel Vega in Wroclaw,Lodging,,
15-Oct-15,15-Oct-15,18.75,E7006,ET701,Jun-2015,DD,Other,Accruals 2014-2015 #RR 504 - 7006 Educational - 701 ET,Educational Material,,
31-Dec-15,31-Dec-15,14014.42,E7016,CO151,Nov-2015,DD,Conference,Conference venue and meals,Other,,
31-Dec-15,31-Dec-15,297.30,E7022,CO151,Nov-2015,DD,Conference,Conference venue and meals,Other,,
31-Dec-15,31-Dec-15,477.15,E7090,CO151,Nov-2015,DD,Conference,Conference venue and meals,Other,,
30-Nov-15,30-Nov-15,41.48,E7044,MK511,Jun-2015,G0,Other,Aalborg Prospective club_DHL_new club package,Other,,
14-Oct-15,14-Oct-15,26.84,E7004,ET702,Jul-2015,L2,COT,50 name tags for attendees of the COT,Conference,,
14-Oct-15,14-Oct-15,39.56,E7066,TR958A,Sep-2015,L2,DECM,Bus ticket to DECM,Travel,Bus,327 km
31-Dec-15,31-Dec-15,18.37,E7014,SC802,Oct-2015,L2,Speech contest,Division German contest (organized by L2 area),Venue rental,,
31-Dec-15,31-Dec-15,10.47,E7078,SC802,Oct-2015,L2,Speech contest,L2 English contest (organized by L2 area),Refreshments,,
31-Dec-15,31-Dec-15,49.31,E7078,SC802,Oct-2015,L2,Speech contest,German division contest (organized by L2 area),Refreshments,,
31-Dec-15,31-Dec-15,46.30,E7078,SC802,Oct-2015,L2,Speech contest,English L2 contest (organized by L2 area),Refreshments,,
31-Dec-15,31-Dec-15,22.34,E7080,SC802,Oct-2015,L2,Speech contest,English L2 contest (organized by L2 area),Awards,,
31-Dec-15,31-Dec-15,8.01,E7080,SC802,Oct-2015,L2,Speech contest,English L2 contest (organized by L2 area),Awards,,
31-Dec-15,31-Dec-15,21.35,E7020,SC802,Oct-2015,L2,Speech contest,English L2 contest (organized by L2 area),Advertising,,
31-Dec-15,31-Dec-15,40.12,E7026,CO152,Nov-2015,DD,Other,District 95 conference website: hosting and domain name,Communication,,
11-Sep-15,11-Sep-15,33.51,E7006,ET705,Jun-2015,DD,Other,Accruals 2014-2015 #RR505 Educational material,Educational Material,,
15-Oct-15,15-Oct-15,2.21,E7062,TR958B,Aug-2015,C0,Club visit,"Club Visit Spreeredner #00835367 (6,5 km x 2 x 0,17ct)",Travel,Car,6.5 km
15-Oct-15,15-Oct-15,80.92,E7014,ET702,Jul-2015,C0,COT,Roomrental C2 Officer Training in Berlin (cash payed),Venue rental,,
15-Oct-15,15-Oct-15,34.06,E7078,ET702,Jul-2015,C0,COT,Refreshments for COT C2 (Invoice incl. Proof of Payment),Refreshments,,
15-Oct-15,15-Oct-15,6.90,E7066,TR958B,Aug-2015,C0,Club visit,"Club Visit Steglitz TM, #2643782",Travel,Train,8.6 km
15-Oct-15,15-Oct-15,6.90,E7066,TR958B,Sep-2015,C0,Club visit,"Club Visit Adlershof TM, #1025950",Travel,Train,14.8 km
31-Dec-15,31-Dec-15,100.00,E7014,SC802,Oct-2015,C0,Speech contest,7014 - room rentals (receipt # V-1509-1674-vs from garage berlin + proof of payment)),Venue rental,,
31-Dec-15,31-Dec-15,150.00,E7080,SC802,Oct-2015,C0,Speech contest,"7010 - awards expense (area c2 contest, cash-receipt)",Awards,,
31-Dec-15,31-Dec-15,236.50,E7060,TR958A,Sep-2015,I3,DECM,Tickets flight. Taxi to train to airport Munich. Train back from Munich airport,Travel,Air,716 km
15-Oct-15,15-Oct-15,95.00,R6060,CO152,Jun-2015,DD,Speech contest,Accruals 2014-2015 #RR498 Award expense,Awards,,
21-Oct-15,21-Oct-15,27.66,E7066,TR958A,Sep-2015,J3,DECM,Train Ticket from Warsaw to Wroclaw,Travel,Train,355 km
21-Oct-15,21-Oct-15,27.66,E7066,TR958A,Sep-2015,J3,DECM,Train Ticket from Wroclaw to Warsaw,Travel,Train,353 km
13-Nov-15,13-Nov-15,451.51,E7008,CO151,Nov-2015,DD,Conference,Conference kit,Other,,
27-Sep-15,27-Sep-15,99.62,E7062,TR958B,Jun-2015,DD,Other,Accruals 2014-2015 #RR503 Educational material,Travel,Car,316 km
31-Dec-15,31-Dec-15,40.00,E7058,TR958A,Sep-2015,G3,DECM,Hotel Monopol (870 PLN),Lodging,,
31-Dec-15,31-Dec-15,329.75,E7062,TR958A,Sep-2015,G3,DECM,Travel Gothenburg-Wroclaw (travel didn't work),Other,,
15-Oct-15,15-Oct-15,52.70,E7066,TR958B,Jun-2015,DD,Club visit,Accruals 2014-2015 #RR500 Travel - Area Governor,Travel,Train,175 km
31-Dec-15,31-Dec-15,251.02,E7006,ET704,Oct-2015,L3,Other,District Conference Store,Educational Material,,
31-Dec-15,31-Dec-15,20.35,E7066,TR958A,Sep-2015,L3,DECM,Travel to DECM,Travel,Bus,
16-Dec-15,16-Dec-15,89.89,E7006,ET702,Aug-2015,E0,COT,Costs from COT,Educational Material,,
16-Dec-15,16-Dec-15,44.44,E7014,SC802,Sep-2015,E0,COT,Area contest ,Venue rental,,
13-Nov-15,13-Nov-15,18.75,E7006,ET701,Jun-2015,DD,Other,Accruals 2014-2015 #RR506 Badges - marketing,Marketing,,
14-Oct-15,14-Oct-15,227.61,E7006,ET704,Aug-2015,B0,Other,Toastmasters Manuals and Ballots for club nr 1231724,Educational Material,,
31-Dec-15,31-Dec-15,32.04,E7062,TR957B,Oct-2015,B0,Conference,Travel to Division Conference,Travel,Car,89.0 km
12/31/2015 8:20:52,12/31/2015,99.72,E7062,TR957A,10/1/2015,B0,DECM,Travel to DECM with AD Piotr Ziemski,Travel,Car,277 km
31-Dec-15,31-Dec-15,99.72,E7062,TR957A,Oct-2015,B0,DECM,Travel to DECM with AD Piotr Ziemski,Travel,Car,277 km
06-Oct-15,06-Oct-15,64.00,E7020,CP606,Aug-2015,PRM,Other,business cards and mail them to Poznan,Marketing,,
06-Oct-15,06-Oct-15,60.61,E7020,AD900,Aug-2015,PRM,Other,business cards - in zlotys,Marketing,,
06-Oct-15,06-Oct-15,6.79,E7044,AD900,Aug-2015,PRM,Other,business cards posting them to Poznan - in zlotys,Marketing,,
06-Oct-15,06-Oct-15,84.56,E7020,AD900,Sep-2015,PRM,Other,Division Directores business cards printing,Marketing,,
11-Oct-15,11-Oct-15,483.20,E7020,AD900,Sep-2015,PRM,DECM,booklet about District Leaders printing on DCM - form Kees,Communication,,
21-Oct-15,21-Oct-15,179.18,E7062,TR958A,Sep-2015,L6,DECM,"There and back, including Zuzana Figurova and Tomas Brukner from Brno, on the way back also Bea Bincze",Travel,Car,527 km
21-Oct-15,21-Oct-15,3.73,E7068,TR958A,Sep-2015,L6,DECM,"DECM Wroclaw, Highway Toll on the way there.",Other,,
17-Nov-15,17-Nov-15,14.76,E7036,CP604,Sep-2015,L6,Other,Toastmasters Slovakia website annual payment,Advertising,,
17-Nov-15,17-Nov-15,100.00,E7086,MK520,Oct-2015,L6,Other,Acc#7086. Representation of TM on a conference - 2 members promoting TM to target group - people looking for self-development. ,Marketing,,
16-Dec-15,16-Dec-15,90.00,E7014,SC802,Oct-2015,L6,Conference,"Expense for area conference room rental, put as membership of NGO, please repay only 90 EUR. Budget item 7014 SC-Room Rental",Venue rental,,
31-Dec-15,31-Dec-15,30.60,E7062,TR958B,Oct-2015,L6,Speech contest,Travel expense for myself to Area Conference in Nitra - there and back 180 km * 0.17 EUR (Budget item SC-7062),Travel,Car,90.7 km
31-Dec-15,31-Dec-15,47.46,E7080,SC802,Oct-2015,L6,Speech contest,Area L6 Conference - the prizes for winners (4xbook) (Budget Item SC-7010),Awards,,
31-Dec-15,31-Dec-15,84.00,E7060,TR958B,Nov-2015,L6,Club visit,"Airline ticket from Bratislava to Košice, AD visit of Toastmasters Košice club",Travel,Air,
31-Dec-15,31-Dec-15,26.76,E7066,TR958B,Nov-2015,L6,Club visit,"Train ticket from Košice to Bratislava, AD visit of Toastmasters Košice club",Travel,Train,401 km
15-Dec-15,15-Dec-15,126.00,E7066,TR958A,Sep-2015,D1,DECM,"Train Ticket from Vienna - Wroclaw and back, plus mandatory train reservations",Travel,Train,535 km
15-Dec-15,15-Dec-15,41.65,E7058,TR958B,Sep-2015,D1,Club visit,Train Vienna to Bratislava + Overnight Stay (Hotel) in Bratislava,Travel,Train,79.1 km
15-Dec-15,15-Dec-15,16.00,E7066,TR958B,Sep-2015,D1,Club visit,Train Vienna to Bratislava + Overnight Stay (Hotel) in Bratislava,Travel,Train,79.1 km
15-Dec-15,15-Dec-15,74.10,E7080,SC802,Oct-2015,D1,Speech contest,"Prices for Contestants at Area Conference in Vienna, Oct 3rd 2015 ",Awards,,
30-Nov-15,30-Nov-15,49.10,E7078,ET702,Aug-2015,A3,COT,"COT1, Area A3, Osnabrück; Snacks",Other,,
17-Sep-15,17-Sep-15,62.85,E7010,SC802,Jun-2015,DD,Speech contest,Accruals 2014-2015 #RR493 Awards - Speech Contest,Awards,,
17-Sep-15,17-Sep-15,35.93,E7014,SC802,Jun-2015,DD,Speech contest,Accruals 2014-2015 #RR494 Room Rental - Speech Contest,Venue rental,,
17-Sep-15,17-Sep-15,189.24,E7006,MK560,Jun-2015,DD,Other,Accruals 2014-2015 #RR497 Marketing - Building new clubs,Marketing,,
10-Dec-15,10-Dec-15,82.32,E7014,SC801,Sep-2015,E0,Speech contest,Venue for the contest,Venue rental,,
13-Nov-15,13-Nov-15,18.75,E7006,ET701,Jun-2015,DD,Other,Accruals 2014-2015 #RR507 ET Distinguished,Educational Material,,
13-Nov-15,13-Nov-15,134.72,E7060,TR957B,Oct-2015,E0,Conference,Visiting Div G and K conference,Travel,Air,"1,328 km"
13-Nov-15,13-Nov-15,65.67,E7008,MK511,Sep-2015,E0,Other,Business cards for Area Directors,Marketing,,
13-Nov-15,13-Nov-15,40.00,E7062,TR957B,Oct-2015,E0,Speech contest,Division Speech Contest,Travel,Car,390 km
13-Nov-15,13-Nov-15,38.00,E7056,TR957B,Oct-2015,E0,Other,Division Conference Tallinn,Conference,,
10-Dec-15,10-Dec-15,31.11,E7062,TR957B,Sep-2015,E0,Speech contest,Area Speech Contest,Travel,Car,94.9 km
10-Dec-15,10-Dec-15,87.34,E7014,SC801,Oct-2015,E0,Speech contest,"Venue for Div Contest. In budget is 50euro, I talked to Tuire, she approved this expence, although is bigger then 50euro",Venue rental,,
10-Dec-15,10-Dec-15,22.88,E7058,TR957B,Oct-2015,E0,Other,Accomondation during Div G and K conference visit in Tallinn,Lodging,,
11-Sep-15,11-Sep-15,61.20,E7062,TR958B,Jul-2015,J4,Club visit,"travel from home to club 180 km plus return 180 km give 360 km | 360 km * 0,17 EUR/km =61,2 EUR",Travel,Car,180 km
11-Sep-15,11-Sep-15,82.96,E7062,TR958B,Jul-2015,J4,Club visit,"Travel to Club 244 km + Return 244 km = 488 km 488*0,17 = 82,96",Travel,Car,244 km
21-Oct-15,21-Oct-15,61.20,E7062,TR958B,Sep-2015,J4,Club visit,"Travel Cost 180 km * 0,17 = 30,6 EUR of road form Lublin to Warsaw. The same return road from Warsaw to Lublin. 2 * 30,6 = 61,2 ",Travel,Car,180 km
21-Oct-15,21-Oct-15,58.78,E7066,TR958A,Sep-2015,J4,DECM,Train tickets only 120 PLN + 135 PLN = 255PLN,Travel,Train,364 km
