"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
16-Dec-15,16-Dec-15,41.14,E7068,TR958A,Sep-2015,L1,DECM,"172 PLN == 1,116.05 CZK -> http://bg.coinmill.com/CZK_EUR.html#CZK=1116.05",Travel,Bus,326 km
16-Dec-15,16-Dec-15,7.00,E7062,TR958B,Aug-2015,L1,Club visit,Travelling,Travel,Train,121 km
16-Dec-15,16-Dec-15,3.50,E7062,TR958A,Aug-2015,L1,Club visit,Queens town return ,Travel,Train,121 km
16-Dec-15,16-Dec-15,6.53,E7066,TR958B,Aug-2015,L1,Club visit,Prague hradec kralove train 06.08,Travel,Train,115 km
16-Dec-15,16-Dec-15,32.25,E7082,AD900,Oct-2015,L1,Other,"Czech custom, club banner fee 874 CZK = 32.25 Euro ",Marketing,,
10-Sep-15,10-Sep-15,272.92,E7060,TR956,Sep-2015,AM,DECM,Flight Ticket Bucharest - Wroclaw,Travel,Air,"1,530 km"
20-Oct-15,20-Oct-15,325.25,E7048,AD900,Aug-2015,AM,Other,"D95 Stamps for Division Directors. Cables for laptop-projector. 1.440,91 Romanian Lei = 325,25 Euro",Other,,
31-Dec-15,31-Dec-15,295.59,E7060,TR956,Oct-2015,AM,Conference,Flight to Division D Conference / Budapest,Travel,Air,818 km
31-Dec-15,31-Dec-15,89.86,E7026,CP601,Oct-2015,AM,Other,1 Month Subscription to Formstack (Proxy Handling Portal),Other,,
31-Dec-15,31-Dec-15,40.00,E7058,TR956,Sep-2015,AM,DECM,Equivalent of 40 Euro for one night's accomodation (part of total invoice),Lodging,,
30-Nov-15,30-Nov-15,43.27,E7006,ET704,Jun-2015,G0,Conference,Manuals ordeed from TI,Educational Material,,
31-Dec-15,31-Dec-15,10.17,E7078,ET702,Aug-2015,I2,COT,Bottled Mineral Water for COT on 15.08.,Refreshments,,
31-Dec-15,31-Dec-15,7.48,E7062,TR958B,Aug-2015,I2,COT,Travel to COT,Travel,Car,22.2 km
31-Dec-15,31-Dec-15,8.67,E7062,TR958B,Jul-2015,I2,Club visit,51km Club Visit,Travel,Car,27.5 km
31-Dec-15,31-Dec-15,25.84,E7062,TR958B,Aug-2015,I2,Club visit,152 km Club Visit,Travel,Car,139 km
31-Dec-15,31-Dec-15,25.84,E7062,TR958B,Sep-2015,I2,Club visit,152 km additional Club Visit for weak club (15 members only),Travel,Car,95.0 km
31-Dec-15,31-Dec-15,26.01,E7062,TR958B,Oct-2015,I2,Club visit,153 km Club Visit ,Travel,Car,94.6 km
31-Dec-15,31-Dec-15,40.00,E7058,TR958A,Sep-2015,I2,DECM,Hotel Invoice,Lodging,,
31-Dec-15,31-Dec-15,148.79,E7060,TR958A,Sep-2015,I2,DECM,Flight MUC-WRO Invoice,Travel,Air,735 km
31-Dec-15,31-Dec-15,17.68,E7062,TR958A,Sep-2015,I2,DECM,104 km Car travel Home-Munich Airport,Travel,Car,104
31-Dec-15,31-Dec-15,59.00,E7068,TR958A,Sep-2015,I2,DECM,Parking Munich Airport,Travel,Car,52
31-Dec-15,31-Dec-15,95.00,E7010,ET701,Jul-2015,I2,Other,"Award for District 1st Perfect 10 Achiever, see email",Awards,,
06-Oct-15,06-Oct-15,1871.64,E7014,ET703,Sep-2015,DD,DECM,"DECM Meeting room 3075 PLN, Loding 2980,80 PLN, meal expense 1600,56 PLN",Venue rental,,
10-Sep-15,10-Sep-15,993.91,E7014,TR958A,Sep-2015,DD,DECM,Prepayment of the DECM venue contract,Venue rental,,
14-Oct-15,14-Oct-15,29.07,E7010,SC801,Jun-2015,DD,Speech contest,Accruals 2014-2015 #RR495 Awards - Speech Contest,Awards,,
10-Sep-15,10-Sep-15,530.93,E7056,AD900,Jul-2015,CGD,Other,Convention Registration ,Conference,,
10-Dec-15,10-Dec-15,76.39,E7078,TR953,Aug-2015,CGD,Conference,"Multiple receipts from Las Vegas TMI convention, total Budget amount is 6*25=150 USD",Refreshments,,
10-Dec-15,10-Dec-15,11.74,E7066,TR953,Aug-2015,CGD,Conference,Taxi for Las Vegas TMI convention - moving to the hotel,Other,,
27-Sep-15,27-Sep-15,275.58,E7060,TR957B,Sep-2015,F0,DECM,Airfare from Frankfurt to Wroclaw,Travel,Air,688 km
25-Nov-15,25-Nov-15,30.62,E7080,SC802,Sep-2015,F0,Conference,conference gifts & thank you of joint confernce F1& F5,Conference,,
25-Nov-15,25-Nov-15,40.00,E7058,TR957A,Sep-2015,F0,DECM,40 Euro of 91.68 Euro accomodation,Lodging,,
25-Nov-15,25-Nov-15,51.68,E7062,TR957B,Aug-2015,F0,Other,visit of the prospective club of reutling- Demo meeting,Travel,Car,153 km
25-Nov-15,25-Nov-15,67.66,E7062,TR957B,Aug-2015,F0,Other,Demo meeting for founding a new TM Club in Kaiserslautern,Travel,Car,201 km
24-Jan-16,24-Jan-16,23.00,E7066,TR957B,Oct-2015,F0,Club visit,Club Visit F5 TM Freiburg (will be given to AD Corinne Simonet),Travel,Train,299 km
24-Jan-16,24-Jan-16,53.03,E7008,MK520,Oct-2015,F0,Other,advertisement posters toastmasters Division Conference Heidelberg 7036,Marketing,,
31-Dec-15,31-Dec-15,40.00,E7058,TR959,Oct-2015,IPDD,Conference,one night lodging attending Division F conference 10-11 Oct 2015,Lodging,,
31-Dec-15,31-Dec-15,61.02,E7056,TR959,Oct-2015,IPDD,Speech contest,IPDG travel and registration division F Conf 10 Oct 2015,Travel,Car,103 km
31-Dec-15,31-Dec-15,83.00,E7080,CO151,Nov-2015,IPDD,Conference,engraving trophies for best DivG and AG and Toastmaster ot Year,Conference,,
14-Oct-15,14-Oct-15,39.25,E7066,MK511,Jun-2015,DD,TLI,Accruals 2014-2015 #RR499 Travel Division Governor,Travel,Train,563 km
14-Oct-15,14-Oct-15,16.60,E7020,MK520,Jun-2015,DD,Other,Accruals 2014-2015 #RR496 Marketing - Printing expense,Marketing,,
15-Oct-15,15-Oct-15,9.16,E7078,ET702,Jul-2015,C0,COT,"Snacks & Refreshments fpr COT C1 (Edeka Fiebig, Berlin)",Refreshments,,
15-Oct-15,15-Oct-15,0.0,E7078,ET702,Jul-2015,C0,COT,Paper cups for COT C1 (buy in Karstadt / Cups for Water and Coffee),Refreshments,,
15-Oct-15,15-Oct-15,31.20,E7078,ET702,Jul-2015,C0,COT,Cake fresh from bakery (cash payed) for COT C1,Refreshments,,
15-Oct-15,15-Oct-15,81.60,E7062,TR958B,Jul-2015,C0,COT,"Club Visit Hanseredner Rostock, #1563553 (2x 240km x 0,17 EUR)",Travel,Car,240 km
15-Oct-15,15-Oct-15,113.22,E7062,TR958A,Sep-2015,C0,DECM,DECM Wroclaw Travel cost by car (incl. 2 another officers: Julia Möser + Ulla Törnroos),Travel,Car,333 km
24-Jan-16,24-Jan-16,144.44,E7080,SC802,Oct-2015,C0,Speech contest,"Area C1 Contest (net loss) for Refreshments, Awards, Trophies, Copies",Awards,,
15-Sep-15,15-Sep-15,331.08,E7058,TR959,Aug-2015,IPDD,Other,3 nights accommodation Las Vegas hotel TI Convention,Other,,
15-Sep-15,15-Sep-15,313.89,E7060,TR959,Sep-2015,IPDD,DECM,travel DECM by IPDG,Travel,Air,703 km
15-Sep-15,15-Sep-15,42.63,E7078,TR959,Aug-2015,IPDD,Other,refreshments during Las Vegas convention,Refreshments,,
15-Sep-15,15-Sep-15,169.60,E7056,TR959,Aug-2015,IPDD,Conference,"Registration fee Las Vegas convention, part not paid by TMI is 183,75 USD= 169.60 EUR, see att. email docs",Other,,
15-Sep-15,15-Sep-15,6.90,E7044,AD900,Aug-2015,IPDD,Other,2 x postage of USB stick I paid in Cash,Other,,
15-Sep-15,15-Sep-15,153.57,E7058,TR959,Aug-2015,IPDD,Other,Overlooked my deposit payment Caesars Palace Las Vegas of 166.88 USD in early submission for Vegas lodging costs,Lodging,,
16-Dec-15,16-Dec-15,22.50,E7062,TR958B,Sep-2015,G4,Club visit,"Car Travel from Gothenburg to Borås and back. Total distance: 132,4 KM",Travel,Car,66.2 km
16-Dec-15,16-Dec-15,6.00,E7062,TR958B,Aug-2015,G4,Club visit,Car + Parking ,Travel,Car,4.9 km
16-Dec-15,16-Dec-15,10.00,E7066,TR958A,Sep-2015,G4,DECM,Buss to airport,Travel,Bus,28.2 km
16-Dec-15,16-Dec-15,10.00,E7066,TR958A,Sep-2015,G4,DECM,Bus to airport,Travel,Bus,28.2 km
16-Dec-15,16-Dec-15,6.00,E7062,TR958A,Sep-2015,G4,DECM,Car from airport,Travel,Car,28.2 km
16-Dec-15,16-Dec-15,170.00,E7060,TR958A,Sep-2015,G4,DECM,Flight back and forth to Wroclaw,Travel,Air,"1,086 km"
16-Dec-15,16-Dec-15,3.00,E7044,MK511,Sep-2015,G4,Other,Admin: Postage,Other,,
15-Oct-15,15-Oct-15,61.00,E7066,TR958B,Sep-2015,J2,DECM,train tickets Warsaw/Wroclaw/Warsaw,Travel,Train,372 km
31-Dec-15,31-Dec-15,56.09,E7014,SC802,Sep-2015,E0,Speech contest,Venue for Area Contest,Venue rental,,
31-Dec-15,31-Dec-15,22.79,E7078,SC802,Sep-2015,E0,Speech contest,Food for Area Contest,Refreshments,,
27-Sep-15,27-Sep-15,346.75,E7060,TR957A,Sep-2015,K0,DECM,"Plane ticket to Wroclaw, Poland - Helsinki, Finland return for DECM",Other,,
17-Nov-15,17-Nov-15,209.22,E7060,TR957B,Sep-2015,K0,COT,"Plane ticket to Vilnius, Lithuania - Helsinki, Finland return for Club Officer Training Area K3",Other,,
27-Sep-15,27-Sep-15,28.72,E7066,TR963,Jun-2015,DD,Other,Accruals 2014-2015 #RR521 Transport - Travel other meber,Travel,Train,73.0 km
27-Sep-15,27-Sep-15,96.84,E7068,TR963,Jun-2015,DD,Club visit,Accruals 2014-2015 #RR527 Transport other member,Travel,Other,107 km
31-Dec-15,31-Dec-15,207.08,E7060,TR958A,Sep-2015,G2,DECM,DECM Travel to Wroclaw,Travel,Air,834 km
22-Oct-15,22-Oct-15,47.60,E7014,ET702,Jul-2015,C0,COT,Room Rental COT C3 ,Venue rental,,
22-Oct-15,22-Oct-15,29.34,E7078,ET702,Jul-2015,C0,COT,Refreshments for COT C3 (cash payed),Refreshments,,
30-Nov-15,30-Nov-15,61.54,E7062,TR958B,Sep-2015,C0,Other,"Travel cost Area C3 Director --> Demo Meeting, Prosp. Club ""Center Berlin TM"" / the AD was supporting the new club! ",Travel,Car,362 km
27-Sep-15,27-Sep-15,143.00,E7068,TR963,Jun-2015,DD,Other,Accruals 2014-2015 #RR522 Transport - Travel other meber,Travel,Car,323 km
17-Nov-15,17-Nov-15,231.43,E7060,TR960,Sep-2015,FM,DECM,Flight tickets to wroclaw,Travel,Air,734 km
06-Oct-15,06-Oct-15,114.00,E7008,CO151,Jun-2015,DD,Conference,Accruals 2014-2015 #RR519 Promotional mateial - Conference,Other,,
25-Nov-15,25-Nov-15,216.16,E7072,AD900,Oct-2015,L0,Other,Customs duty for items ordered for the district shop,Educational Material,,
22-Oct-15,22-Oct-15,67.66,E7062,TR958B,Aug-2015,A3,Club visit,"Club Visit, Bremen",Travel,Car,199 km
22-Oct-15,22-Oct-15,11.90,E7062,TR958B,Aug-2015,A3,Club visit,"Club Visit, Paderborn",Travel,Car,35.0 km
22-Oct-15,22-Oct-15,46.24,E7062,TR958B,Aug-2015,A3,Club visit,"Club Visit, Hannover",Travel,Car,136 km
22-Oct-15,22-Oct-15,46.24,E7062,TR958B,Sep-2015,A3,Club visit,"Club Visit, Abbott ",Travel,Car,136 km
22-Oct-15,22-Oct-15,22.92,E7062,TR958B,Aug-2015,A3,Club visit,"Club Visit, Münster",Travel,Car,67.4 km
22-Oct-15,22-Oct-15,22.10,E7062,TR958B,Aug-2015,A3,COT,"COT1, Area A3, Osnabrück",Travel,Car,64.9 km
30-Nov-15,30-Nov-15,67.66,E7062,MK511,Aug-2015,A3,Other,"Kickoff-Meeting, Braunschweiger Toastmasters Club; beeing there as TMdA. There is no official invitation. Could send you pics. ",Travel,Car,199 km
15-Oct-15,15-Oct-15,11.41,E7078,ET702,Aug-2015,K2,COT,Refreshments for COT,Refreshments,,
27-Sep-15,27-Sep-15,406.45,E7060,TR958A,Sep-2015,K2,DECM,Flight ticket,Travel,Air,"1,453 km"
15-Oct-15,15-Oct-15,17.31,E7064,TR958A,Sep-2015,K2,DECM,Travel from airport to Conference venue for 2 toastmasters by taxi,Travel,Car,9.5 km
15-Oct-15,15-Oct-15,19.00,E7062,ET300,Aug-2015,K2,COT,Travel to venue and back,Travel,Car,57.8 km
25-Nov-15,25-Nov-15,21.70,E7078,SC802,Oct-2015,K2,Speech contest,Refreshments + Travel,Travel,Car,55.9 km
25-Nov-15,25-Nov-15,19.00,E7062,TR958B,Oct-2015,K2,Speech contest,Refreshments + Travel,Travel,Car,55.9 km
25-Nov-15,25-Nov-15,108.00,E7006,MK530,Oct-2015,K2,Club coaching,Advanced communication set,Educational Material,,
31-Dec-15,31-Dec-15,42.00,E7062,TR958B,Oct-2015,K2,Club visit,Travelling for the club visit,Travel,Car,125 km
31-Dec-15,31-Dec-15,129.00,E7062,TR958B,Nov-2015,K2,Club visit,travel+parking to Vaasa Toastmaster club visit 1,Travel,Car,372 km
31-Dec-15,31-Dec-15,35.00,E7062,TR958B,Oct-2015,K2,Club visit,travel+parking to Norther Star club visit 1,Travel,Car,55.1 km
17-Sep-15,17-Sep-15,114.82,E7026,AD900,Jun-2015,DD,Other,Accruals 2014-2015 #RR512 Website-expense - Admin,Other,,
17-Sep-15,17-Sep-15,407.00,E7078,ET300,Jun-2015,DD,TLI,Accruals 2014-2015 #RR512 Food expense TLI,Refreshments,,
30-Nov-15,30-Nov-15,20.00,E7014,ET702,Jul-2015,FMI,COT,Room Rental,Venue rental,,
30-Nov-15,30-Nov-15,20.56,E7078,ET702,Jul-2015,FMI,COT,Refreshments,Refreshments,,
30-Nov-15,30-Nov-15,15.66,E7012,ET702,Jul-2015,FMI,COT,Material flipchart paper etc.,Other,,
30-Nov-15,30-Nov-15,15.39,E7008,MK520,Sep-2015,FMI,Other,Copies of Flyer Marketing Toastmasters Nürnberg,Marketing,,
31-Dec-15,31-Dec-15,35.70,E7026,AD900,Sep-2015,DFMI,Other,Hosting Website Division I,Communication,,
31-Dec-15,31-Dec-15,200.54,E7008,CP605,Oct-2015,DFMI,Other,Printing Flyers,Marketing,,
31-Dec-15,31-Dec-15,20.00,E7014,SC802,Sep-2015,DFMI,Conference,Room rent Area Conference,Conference,,
31-Dec-15,31-Dec-15,18.19,E7078,SC802,Sep-2015,DFMI,Conference,"Refreshments, Coffee Area Conference",Conference,,
31-Dec-15,31-Dec-15,10.17,E7078,ET702,42217,DFMI,COT,"Refreshments, Water",Refreshments,,
31-Dec-15,31-Dec-15,7.48,E7062,TR958B,Aug-2015,DFMI,COT,Travel to COT,Travel,Car,26.3 km
